pointID,x,y,minorCatch,majorCatch
130,587937.5,5252962.5,-9999,-9999
131,588037.5,5252962.5,-9999,-9999
132,588137.5,5252962.5,-9999,-9999
133,588237.5,5252962.5,-9999,-9999
134,588337.5,5252962.5,-9999,-9999
135,588437.5,5252962.5,-9999,-9999
136,588537.5,5252962.5,-9999,-9999
137,588637.5,5252962.5,-9999,-9999
138,588737.5,5252962.5,-9999,-9999
139,588837.5,5252962.5,-9999,-9999
140,588937.5,5252962.5,-9999,-9999
141,589037.5,5252962.5,-9999,-9999
142,589137.5,5252962.5,-9999,-9999
143,589237.5,5252962.5,-9999,-9999
144,589337.5,5252962.5,-9999,-9999
145,589437.5,5252962.5,-9999,-9999
146,589537.5,5252962.5,-9999,-9999
147,589637.5,5252962.5,-9999,-9999
148,589737.5,5252962.5,-9999,-9999
149,589837.5,5252962.5,-9999,-9999
150,589937.5,5252962.5,-9999,-9999
151,590037.5,5252962.5,-9999,-9999
152,590137.5,5252962.5,-9999,-9999
153,590237.5,5252962.5,-9999,-9999
154,590337.5,5252962.5,-9999,-9999
155,590437.5,5252962.5,-9999,-9999
156,590537.5,5252962.5,-9999,-9999
157,590637.5,5252962.5,-9999,-9999
158,590737.5,5252962.5,-9999,-9999
159,590837.5,5252962.5,-9999,-9999
160,590937.5,5252962.5,-9999,-9999
161,591037.5,5252962.5,-9999,-9999
162,591137.5,5252962.5,-9999,-9999
163,591237.5,5252962.5,-9999,-9999
164,591337.5,5252962.5,-9999,-9999
165,591437.5,5252962.5,-9999,-9999
166,591537.5,5252962.5,-9999,-9999
167,591637.5,5252962.5,-9999,-9999
168,591737.5,5252962.5,-9999,-9999
169,591837.5,5252962.5,-9999,-9999
170,591937.5,5252962.5,-9999,-9999
171,592037.5,5252962.5,-9999,-9999
172,592137.5,5252962.5,-9999,-9999
173,592237.5,5252962.5,-9999,-9999
174,592337.5,5252962.5,-9999,-9999
175,592437.5,5252962.5,-9999,-9999
176,592537.5,5252962.5,-9999,-9999
177,592637.5,5252962.5,-9999,-9999
178,592737.5,5252962.5,-9999,-9999
179,592837.5,5252962.5,-9999,-9999
180,592937.5,5252962.5,-9999,-9999
181,593037.5,5252962.5,-9999,-9999
182,593137.5,5252962.5,-9999,-9999
183,593237.5,5252962.5,-9999,-9999
184,593337.5,5252962.5,-9999,-9999
185,593437.5,5252962.5,-9999,-9999
186,593537.5,5252962.5,-9999,-9999
187,593637.5,5252962.5,-9999,-9999
188,593737.5,5252962.5,-9999,-9999
189,593837.5,5252962.5,-9999,-9999
190,593937.5,5252962.5,-9999,-9999
191,575037.5,5252862.5,-9999,-9999
192,575137.5,5252862.5,-9999,-9999
193,575237.5,5252862.5,-9999,-9999
194,575337.5,5252862.5,-9999,-9999
195,575437.5,5252862.5,-9999,-9999
196,575537.5,5252862.5,-9999,-9999
197,575637.5,5252862.5,-9999,-9999
198,575737.5,5252862.5,-9999,-9999
199,575837.5,5252862.5,-9999,-9999
200,575937.5,5252862.5,-9999,-9999
201,576037.5,5252862.5,-9999,-9999
202,576137.5,5252862.5,-9999,-9999
203,576237.5,5252862.5,-9999,-9999
204,576337.5,5252862.5,-9999,-9999
205,576437.5,5252862.5,-9999,-9999
206,576537.5,5252862.5,-9999,-9999
207,576637.5,5252862.5,-9999,-9999
208,576737.5,5252862.5,-9999,-9999
209,576837.5,5252862.5,-9999,-9999
210,576937.5,5252862.5,-9999,-9999
211,577037.5,5252862.5,-9999,-9999
212,577137.5,5252862.5,-9999,-9999
213,577237.5,5252862.5,-9999,-9999
214,577337.5,5252862.5,-9999,-9999
215,577437.5,5252862.5,-9999,-9999
216,577537.5,5252862.5,-9999,-9999
217,577637.5,5252862.5,-9999,-9999
218,577737.5,5252862.5,-9999,-9999
219,577837.5,5252862.5,-9999,-9999
220,577937.5,5252862.5,-9999,-9999
221,578037.5,5252862.5,-9999,-9999
222,578137.5,5252862.5,-9999,-9999
223,578237.5,5252862.5,-9999,-9999
224,578337.5,5252862.5,-9999,-9999
225,578437.5,5252862.5,-9999,-9999
226,578537.5,5252862.5,-9999,-9999
227,578637.5,5252862.5,-9999,-9999
228,578737.5,5252862.5,-9999,-9999
229,578837.5,5252862.5,-9999,-9999
230,578937.5,5252862.5,-9999,-9999
231,579037.5,5252862.5,-9999,-9999
232,579137.5,5252862.5,-9999,-9999
233,579237.5,5252862.5,-9999,-9999
234,579337.5,5252862.5,-9999,-9999
235,579437.5,5252862.5,-9999,-9999
236,579537.5,5252862.5,-9999,-9999
237,579637.5,5252862.5,-9999,-9999
238,579737.5,5252862.5,-9999,-9999
239,579837.5,5252862.5,-9999,-9999
240,579937.5,5252862.5,-9999,-9999
241,580037.5,5252862.5,-9999,-9999
242,580137.5,5252862.5,-9999,-9999
243,580237.5,5252862.5,-9999,-9999
