ID,X,Y,Z,formation,azimuth,dip,polarity,fault,overturned,erosion,source,type,use,depth
S-155,584586,5249140,1406,Schrattenkalk,0,0,1,n,y,0,Huth 1998,interface,y,0
S-156,584995,5248940,1533,Schrattenkalk,0,0,1,n,y,0,Huth 1998,interface,y,0
S-157,585596,5248780,1594,Schrattenkalk,0,0,1,n,y,0,Huth 1998,interface,y,0
S-158,586100,5248640,1672,Schrattenkalk,0,0,1,n,y,0,Huth 1998,interface,y,0
S-159,584549,5248100,1777,Schrattenkalk,0,0,1,n,n,0,Huth 1998,interface,y,0
S-160,584800,5247610,1985,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-161,585052,5247620,1932,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-162,585414,5247620,1863,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-163,585349,5247900,1813,Schrattenkalk,0,0,1,n,y,0,Goldscheider 1997,interface,y,0
S-164,585656,5247640,1902,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-165,585811,5247630,1842,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-166,585889,5247560,1774,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-167,586035,5247540,1786,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-168,585738,5247680,1800,Schrattenkalk,0,0,1,n,y,0,Goldscheider 1997,interface,y,0
S-169,586045,5247720,1672,Schrattenkalk,0,0,1,n,y,0,Goldscheider 1997,interface,y,0
S-170,581165,5247530,1452,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-171,581532,5247830,1530,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-172,581551,5247660,1527,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-173,581756,5247860,1598,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-174,581993,5247160,1695,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-175,582285,5247540,1615,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-176,581036,5246780,1631,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-177,581587,5246600,1717,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-178,582571,5247270,1689,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-179,582069,5246310,1832,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-180,581870,5247410,1569,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-181,582193,5247080,1704,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-182,582316,5246250,1855,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-183,582650,5246010,2002,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-184,582820,5245840,1992,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
